ligand,additive,base,aryl halide,rxn,objective,procedure
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC,CC1=C(C(OCC)=O)C=NO1,CN1CCCN2C1=NCCC2,BrC1=CN=CC=C1,Brc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.COc1ccc(OC)c(P([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CN1CCCN2CCCN=C12.CCOC(=O)c1cnoc1C>>Cc1ccc(Nc2cccnc2)cc1,43.17813797,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC
- Aryl halide: BrC1=CN=CC=C1
- Additive: CC1=C(C(OCC)=O)C=NO1
- Base: CN1CCCN2C1=NCCC2
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC,FC(C=CC=C1F)=C1C2=CC=NO2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,ClC1=CN=CC=C1,Clc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Fc1cccc(F)c1-c1ccno1>>Cc1ccc(Nc2cccnc2)cc1,8.50474803,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC
- Aryl halide: ClC1=CN=CC=C1
- Additive: FC(C=CC=C1F)=C1C2=CC=NO2
- Base: CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2,C1(C2=CC=CC=C2)=NOC=C1,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,ClC1=CN=CC=C1,Clc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccon2)cc1>>Cc1ccc(Nc2cccnc2)cc1,18.412337,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2
- Aryl halide: ClC1=CN=CC=C1
- Additive: C1(C2=CC=CC=C2)=NOC=C1
- Base: CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2,O=C(OC)C1=NOC(C2=CC=CO2)=C1,CN1CCCN2C1=NCCC2,ClC1=CN=CC=C1,Clc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.CN1CCCN2CCCN=C12.COC(=O)c1cc(-c2ccco2)on1>>Cc1ccc(Nc2cccnc2)cc1,0.0,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2
- Aryl halide: ClC1=CN=CC=C1
- Additive: O=C(OC)C1=NOC(C2=CC=CO2)=C1
- Base: CN1CCCN2C1=NCCC2
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC,CC1=C(C(OCC)=O)C=NO1,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,IC1=CN=CC=C1,Ic1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.COc1ccc(OC)c(P([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CCOC(=O)c1cnoc1C>>Cc1ccc(Nc2cccnc2)cc1,14.36942688,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC
- Aryl halide: IC1=CN=CC=C1
- Additive: CC1=C(C(OCC)=O)C=NO1
- Base: CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC,CCOC(C1=NOC=C1)=O,CC(C)(C)/N=C(N(C)C)/N(C)C,BrC1=CN=CC=C1,Brc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CN(C)C(=NC(C)(C)C)N(C)C.CCOC(=O)c1ccon1>>Cc1ccc(Nc2cccnc2)cc1,59.7949718,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC
- Aryl halide: BrC1=CN=CC=C1
- Additive: CCOC(C1=NOC=C1)=O
- Base: CC(C)(C)/N=C(N(C)C)/N(C)C
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COC1=NOC(C(OCC)=O)=C1,CC(C)(C)/N=C(N(C)C)/N(C)C,IC1=CN=CC=C1,Ic1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.CCOC(=O)c1cc(OC)no1>>Cc1ccc(Nc2cccnc2)cc1,27.22195897,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2
- Aryl halide: IC1=CN=CC=C1
- Additive: COC1=NOC(C(OCC)=O)=C1
- Base: CC(C)(C)/N=C(N(C)C)/N(C)C
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2,FC(C=CC=C1F)=C1C2=CC=NO2,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,BrC1=CN=CC=C1,Brc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Fc1cccc(F)c1-c1ccno1>>Cc1ccc(Nc2cccnc2)cc1,22.41656552,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2
- Aryl halide: BrC1=CN=CC=C1
- Additive: FC(C=CC=C1F)=C1C2=CC=NO2
- Base: CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,O=C(OC)C1=NOC(C2=CC=CS2)=C1,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,IC1=CN=CC=C1,Ic1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.COC(=O)c1cc(-c2cccs2)on1>>Cc1ccc(Nc2cccnc2)cc1,21.33105034,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2
- Aryl halide: IC1=CN=CC=C1
- Additive: O=C(OC)C1=NOC(C2=CC=CS2)=C1
- Base: CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC
"
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCOC(C1=NOC=C1)=O,CN1CCCN2C1=NCCC2,BrC1=CN=CC=C1,Brc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN1CCCN2CCCN=C12.CCOC(=O)c1ccon1>>Cc1ccc(Nc2cccnc2)cc1,22.07470925,"Reaction Setup
The following solutions were prepared in DMSO:
- Ligand: CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2
- Aryl halide: BrC1=CN=CC=C1
- Additive: CCOC(C1=NOC=C1)=O
- Base: CN1CCCN2C1=NCCC2
"
