colsample_bytree,eta,max_depth,reg_lambda,test_acc
0.1,0.0009765625,1.0,0.0009765625,0.699949005609383
0.1,0.0009765625,1.0,0.004556754,0.699602243753187
0.1,0.0009765625,1.0,0.021262344,0.699765425803162
0.1,0.0009765625,1.0,0.099212565,0.699622641509434
0.1,0.0009765625,1.0,0.46293736,0.699989801121877
0.1,0.0009765625,1.0,2.1601195,0.699887812340643
0.1,0.0009765625,1.0,10.079369,0.700214176440592
0.1,0.0009765625,1.0,47.031506,0.699704232534421
0.1,0.0009765625,1.0,219.45445,0.699602243753187
0.1,0.0009765625,1.0,1024.0,0.697684854665987
0.1,0.0009765625,2.0,0.0009765625,0.705823559408465
0.1,0.0009765625,2.0,0.004556754,0.704620091789903
0.1,0.0009765625,2.0,0.021262344,0.703477817440082
0.1,0.0009765625,2.0,0.099212565,0.704987251402346
0.1,0.0009765625,2.0,0.46293736,0.705048444671086
0.1,0.0009765625,2.0,2.1601195,0.705293217746048
0.1,0.0009765625,2.0,10.079369,0.706027536970933
0.1,0.0009765625,2.0,47.031506,0.706027536970933
0.1,0.0009765625,2.0,219.45445,0.705293217746048
0.1,0.0009765625,2.0,1024.0,0.704293727689954
0.1,0.0009765625,3.0,0.0009765625,0.70508924018358
0.1,0.0009765625,3.0,0.004556754,0.705272819989801
0.1,0.0009765625,3.0,0.021262344,0.704946455889852
0.1,0.0009765625,3.0,0.099212565,0.705864354920959
0.1,0.0009765625,3.0,0.46293736,0.704599694033656
0.1,0.0009765625,3.0,2.1601195,0.70745537990821
0.1,0.0009765625,3.0,10.079369,0.707863335033146
0.1,0.0009765625,3.0,47.031506,0.708271290158083
0.1,0.0009765625,3.0,219.45445,0.709393166751657
0.1,0.0009765625,3.0,1024.0,0.708128505864355
0.1,0.0009765625,5.0,0.0009765625,0.700214176440591
0.1,0.0009765625,5.0,0.004556754,0.700724120346762
0.1,0.0009765625,5.0,0.021262344,0.699316675165732
0.1,0.0009765625,5.0,0.099212565,0.700336562978072
0.1,0.0009765625,5.0,0.46293736,0.700458949515553
0.1,0.0009765625,5.0,2.1601195,0.703110657827639
0.1,0.0009765625,5.0,10.079369,0.704110147883733
0.1,0.0009765625,5.0,47.031506,0.705436002039776
0.1,0.0009765625,5.0,219.45445,0.707883732789393
0.1,0.0009765625,5.0,1024.0,0.709637939826619
0.1,0.0009765625,8.0,0.0009765625,0.688505864354921
0.1,0.0009765625,8.0,0.004556754,0.688424273329934
0.1,0.0009765625,8.0,0.021262344,0.68883222845487
0.1,0.0009765625,8.0,0.099212565,0.689750127485977
0.1,0.0009765625,8.0,0.46293736,0.691361550229475
0.1,0.0009765625,8.0,2.1601195,0.692646608873024
0.1,0.0009765625,8.0,10.079369,0.696216216216216
0.1,0.0009765625,8.0,47.031506,0.699214686384498
0.1,0.0009765625,8.0,219.45445,0.702355940846507
0.1,0.0009765625,8.0,1024.0,0.705578786333503
0.1,0.0009765625,13.0,0.0009765625,0.678857725650178
0.1,0.0009765625,13.0,0.004556754,0.679836817950025
0.1,0.0009765625,13.0,0.021262344,0.678837327893932
0.1,0.0009765625,13.0,0.099212565,0.678266190719021
0.1,0.0009765625,13.0,0.46293736,0.680611932687404
0.1,0.0009765625,13.0,2.1601195,0.682345741968384
0.1,0.0009765625,13.0,10.079369,0.684936257011729
0.1,0.0009765625,13.0,47.031506,0.689750127485977
0.1,0.0009765625,13.0,219.45445,0.69586945436002
0.1,0.0009765625,13.0,1024.0,0.703029066802652
0.1,0.0009765625,20.0,0.0009765625,0.672432432432432
0.1,0.0009765625,20.0,0.004556754,0.67302396736359
0.1,0.0009765625,20.0,0.021262344,0.671983681795002
0.1,0.0009765625,20.0,0.099212565,0.672881183069862
0.1,0.0009765625,20.0,0.46293736,0.673839877613463
0.1,0.0009765625,20.0,2.1601195,0.675267720550739
0.1,0.0009765625,20.0,10.079369,0.681183069862315
0.1,0.0009765625,20.0,47.031506,0.68652728199898
0.1,0.0009765625,20.0,219.45445,0.693646098929118
0.1,0.0009765625,20.0,1024.0,0.702906680265171
0.1,0.0009765625,32.0,0.0009765625,0.668087710351861
0.1,0.0009765625,32.0,0.004556754,0.668128505864355
0.1,0.0009765625,32.0,0.021262344,0.668577256501785
0.1,0.0009765625,32.0,0.099212565,0.665945945945946
0.1,0.0009765625,32.0,0.46293736,0.667638959714431
0.1,0.0009765625,32.0,2.1601195,0.673207547169811
0.1,0.0009765625,32.0,10.079369,0.678735339112698
0.1,0.0009765625,32.0,47.031506,0.685548189699133
0.1,0.0009765625,32.0,219.45445,0.693095359510454
0.1,0.0009765625,32.0,1024.0,0.702947475777665
0.1,0.0009765625,50.0,0.0009765625,0.666659867414584
0.1,0.0009765625,50.0,0.004556754,0.663824579296277
0.1,0.0009765625,50.0,0.021262344,0.66419173890872
0.1,0.0009765625,50.0,0.099212565,0.665741968383478
0.1,0.0009765625,50.0,0.46293736,0.667067822539521
0.1,0.0009765625,50.0,2.1601195,0.671371749107598
0.1,0.0009765625,50.0,10.079369,0.680244773074962
0.1,0.0009765625,50.0,47.031506,0.684140744518103
0.1,0.0009765625,50.0,219.45445,0.693013768485467
0.1,0.0009765625,50.0,1024.0,0.70323304436512
0.1,0.0021094917,1.0,0.0009765625,0.699949005609383
0.1,0.0021094917,1.0,0.004556754,0.699602243753187
0.1,0.0021094917,1.0,0.021262344,0.699765425803162
0.1,0.0021094917,1.0,0.099212565,0.699622641509434
0.1,0.0021094917,1.0,0.46293736,0.699989801121877
0.1,0.0021094917,1.0,2.1601195,0.699887812340643
0.1,0.0021094917,1.0,10.079369,0.700214176440592
0.1,0.0021094917,1.0,47.031506,0.699704232534421
0.1,0.0021094917,1.0,219.45445,0.699602243753187
0.1,0.0021094917,1.0,1024.0,0.697684854665987
0.1,0.0021094917,2.0,0.0009765625,0.705823559408465
0.1,0.0021094917,2.0,0.004556754,0.704620091789903
0.1,0.0021094917,2.0,0.021262344,0.703477817440082
0.1,0.0021094917,2.0,0.099212565,0.704987251402346
0.1,0.0021094917,2.0,0.46293736,0.705048444671086
0.1,0.0021094917,2.0,2.1601195,0.705293217746048
0.1,0.0021094917,2.0,10.079369,0.706027536970933
0.1,0.0021094917,2.0,47.031506,0.706027536970933
0.1,0.0021094917,2.0,219.45445,0.705293217746048
0.1,0.0021094917,2.0,1024.0,0.704293727689954
0.1,0.0021094917,3.0,0.0009765625,0.70508924018358
0.1,0.0021094917,3.0,0.004556754,0.705272819989801
0.1,0.0021094917,3.0,0.021262344,0.704946455889852
0.1,0.0021094917,3.0,0.099212565,0.705864354920959
0.1,0.0021094917,3.0,0.46293736,0.704599694033656
0.1,0.0021094917,3.0,2.1601195,0.70745537990821
0.1,0.0021094917,3.0,10.079369,0.707863335033146
0.1,0.0021094917,3.0,47.031506,0.708271290158083
0.1,0.0021094917,3.0,219.45445,0.709393166751657
0.1,0.0021094917,3.0,1024.0,0.708128505864355
0.1,0.0021094917,5.0,0.0009765625,0.700214176440591
0.1,0.0021094917,5.0,0.004556754,0.700724120346762
0.1,0.0021094917,5.0,0.021262344,0.699316675165732
0.1,0.0021094917,5.0,0.099212565,0.700336562978072
0.1,0.0021094917,5.0,0.46293736,0.700458949515553
0.1,0.0021094917,5.0,2.1601195,0.703110657827639
0.1,0.0021094917,5.0,10.079369,0.704110147883733
0.1,0.0021094917,5.0,47.031506,0.705436002039776
0.1,0.0021094917,5.0,219.45445,0.707883732789393
0.1,0.0021094917,5.0,1024.0,0.709637939826619
0.1,0.0021094917,8.0,0.0009765625,0.688505864354921
0.1,0.0021094917,8.0,0.004556754,0.688424273329934
0.1,0.0021094917,8.0,0.021262344,0.68883222845487
0.1,0.0021094917,8.0,0.099212565,0.689750127485977
0.1,0.0021094917,8.0,0.46293736,0.691361550229475
0.1,0.0021094917,8.0,2.1601195,0.692646608873024
0.1,0.0021094917,8.0,10.079369,0.696216216216216
0.1,0.0021094917,8.0,47.031506,0.699214686384498
0.1,0.0021094917,8.0,219.45445,0.702355940846507
0.1,0.0021094917,8.0,1024.0,0.705578786333503
0.1,0.0021094917,13.0,0.0009765625,0.678857725650178
0.1,0.0021094917,13.0,0.004556754,0.679836817950025
0.1,0.0021094917,13.0,0.021262344,0.678837327893932
0.1,0.0021094917,13.0,0.099212565,0.678266190719021
0.1,0.0021094917,13.0,0.46293736,0.680611932687404
0.1,0.0021094917,13.0,2.1601195,0.682345741968384
0.1,0.0021094917,13.0,10.079369,0.684936257011729
0.1,0.0021094917,13.0,47.031506,0.689750127485977
0.1,0.0021094917,13.0,219.45445,0.69586945436002
0.1,0.0021094917,13.0,1024.0,0.703029066802652
0.1,0.0021094917,20.0,0.0009765625,0.672432432432432
0.1,0.0021094917,20.0,0.004556754,0.67302396736359
0.1,0.0021094917,20.0,0.021262344,0.671983681795002
0.1,0.0021094917,20.0,0.099212565,0.672881183069862
0.1,0.0021094917,20.0,0.46293736,0.673839877613463
0.1,0.0021094917,20.0,2.1601195,0.675267720550739
0.1,0.0021094917,20.0,10.079369,0.681183069862315
0.1,0.0021094917,20.0,47.031506,0.68652728199898
0.1,0.0021094917,20.0,219.45445,0.693646098929118
0.1,0.0021094917,20.0,1024.0,0.702906680265171
0.1,0.0021094917,32.0,0.0009765625,0.668087710351861
0.1,0.0021094917,32.0,0.004556754,0.668128505864355
0.1,0.0021094917,32.0,0.021262344,0.668577256501785
0.1,0.0021094917,32.0,0.099212565,0.665945945945946
0.1,0.0021094917,32.0,0.46293736,0.667638959714431
0.1,0.0021094917,32.0,2.1601195,0.673207547169811
0.1,0.0021094917,32.0,10.079369,0.678735339112698
0.1,0.0021094917,32.0,47.031506,0.685548189699133
0.1,0.0021094917,32.0,219.45445,0.693095359510454
0.1,0.0021094917,32.0,1024.0,0.702947475777665
0.1,0.0021094917,50.0,0.0009765625,0.666659867414584
0.1,0.0021094917,50.0,0.004556754,0.663824579296277
0.1,0.0021094917,50.0,0.021262344,0.66419173890872
0.1,0.0021094917,50.0,0.099212565,0.665741968383478
0.1,0.0021094917,50.0,0.46293736,0.667067822539521
0.1,0.0021094917,50.0,2.1601195,0.671371749107598
0.1,0.0021094917,50.0,10.079369,0.680244773074962
0.1,0.0021094917,50.0,47.031506,0.684140744518103
0.1,0.0021094917,50.0,219.45445,0.693013768485467
0.1,0.0021094917,50.0,1024.0,0.70323304436512
0.1,0.004556754,1.0,0.0009765625,0.699949005609383
0.1,0.004556754,1.0,0.004556754,0.699602243753187
0.1,0.004556754,1.0,0.021262344,0.699765425803162
0.1,0.004556754,1.0,0.099212565,0.699622641509434
0.1,0.004556754,1.0,0.46293736,0.699989801121877
0.1,0.004556754,1.0,2.1601195,0.699887812340643
0.1,0.004556754,1.0,10.079369,0.700214176440592
0.1,0.004556754,1.0,47.031506,0.699704232534421
0.1,0.004556754,1.0,219.45445,0.699602243753187
0.1,0.004556754,1.0,1024.0,0.697684854665987
0.1,0.004556754,2.0,0.0009765625,0.705823559408465
0.1,0.004556754,2.0,0.004556754,0.704620091789903
0.1,0.004556754,2.0,0.021262344,0.703477817440082
0.1,0.004556754,2.0,0.099212565,0.704987251402346
0.1,0.004556754,2.0,0.46293736,0.705048444671086
0.1,0.004556754,2.0,2.1601195,0.705293217746048
0.1,0.004556754,2.0,10.079369,0.706027536970933
0.1,0.004556754,2.0,47.031506,0.706027536970933
0.1,0.004556754,2.0,219.45445,0.705293217746048
0.1,0.004556754,2.0,1024.0,0.704293727689954
0.1,0.004556754,3.0,0.0009765625,0.70508924018358
0.1,0.004556754,3.0,0.004556754,0.705272819989801
0.1,0.004556754,3.0,0.021262344,0.704946455889852
0.1,0.004556754,3.0,0.099212565,0.705864354920959
0.1,0.004556754,3.0,0.46293736,0.704599694033656
0.1,0.004556754,3.0,2.1601195,0.70745537990821
0.1,0.004556754,3.0,10.079369,0.707863335033146
0.1,0.004556754,3.0,47.031506,0.708271290158083
0.1,0.004556754,3.0,219.45445,0.709393166751657
0.1,0.004556754,3.0,1024.0,0.708128505864355
0.1,0.004556754,5.0,0.0009765625,0.700214176440591
0.1,0.004556754,5.0,0.004556754,0.700724120346762
0.1,0.004556754,5.0,0.021262344,0.699316675165732
0.1,0.004556754,5.0,0.099212565,0.700336562978072
0.1,0.004556754,5.0,0.46293736,0.700458949515553
0.1,0.004556754,5.0,2.1601195,0.703110657827639
0.1,0.004556754,5.0,10.079369,0.704110147883733
0.1,0.004556754,5.0,47.031506,0.705436002039776
0.1,0.004556754,5.0,219.45445,0.707883732789393
0.1,0.004556754,5.0,1024.0,0.709637939826619
0.1,0.004556754,8.0,0.0009765625,0.688505864354921
0.1,0.004556754,8.0,0.004556754,0.688424273329934
0.1,0.004556754,8.0,0.021262344,0.68883222845487
0.1,0.004556754,8.0,0.099212565,0.689750127485977
0.1,0.004556754,8.0,0.46293736,0.691361550229475
0.1,0.004556754,8.0,2.1601195,0.692646608873024
0.1,0.004556754,8.0,10.079369,0.696216216216216
0.1,0.004556754,8.0,47.031506,0.699214686384498
0.1,0.004556754,8.0,219.45445,0.702355940846507
0.1,0.004556754,8.0,1024.0,0.705578786333503
