alpha,batch_size,depth,learning_rate_init,width,test_acc
1e-08,4.0,1.0,1e-05,16.0,0.89317738791423
1e-08,4.0,1.0,1e-05,25.0,0.899415204678363
1e-08,4.0,1.0,1e-05,40.0,0.903703703703704
1e-08,4.0,1.0,1e-05,64.0,0.907212475633528
1e-08,4.0,1.0,1e-05,101.0,0.906432748538012
1e-08,4.0,1.0,1e-05,161.0,0.910331384015594
1e-08,4.0,1.0,1e-05,256.0,0.910721247563353
1e-08,4.0,1.0,1e-05,406.0,0.907992202729045
1e-08,4.0,1.0,1e-05,645.0,0.906432748538012
1e-08,4.0,1.0,1e-05,1024.0,0.906432748538012
1e-08,4.0,1.0,3.5938137e-05,16.0,0.905263157894737
1e-08,4.0,1.0,3.5938137e-05,25.0,0.903703703703704
1e-08,4.0,1.0,3.5938137e-05,40.0,0.90916179337232
1e-08,4.0,1.0,3.5938137e-05,64.0,0.90448343079922
1e-08,4.0,1.0,3.5938137e-05,101.0,0.903313840155946
1e-08,4.0,1.0,3.5938137e-05,161.0,0.901364522417154
1e-08,4.0,1.0,3.5938137e-05,256.0,0.898245614035088
1e-08,4.0,1.0,3.5938137e-05,406.0,0.895126705653021
1e-08,4.0,1.0,3.5938137e-05,645.0,0.893567251461988
1e-08,4.0,1.0,3.5938137e-05,1024.0,0.897076023391813
1e-08,4.0,1.0,0.00012915497,16.0,0.899415204678363
1e-08,4.0,1.0,0.00012915497,25.0,0.899415204678363
1e-08,4.0,1.0,0.00012915497,40.0,0.89551656920078
1e-08,4.0,1.0,0.00012915497,64.0,0.892397660818713
1e-08,4.0,1.0,0.00012915497,101.0,0.892787524366472
1e-08,4.0,1.0,0.00012915497,161.0,0.898245614035088
1e-08,4.0,1.0,0.00012915497,256.0,0.891228070175438
1e-08,4.0,1.0,0.00012915497,406.0,0.89551656920078
1e-08,4.0,1.0,0.00012915497,645.0,0.891617933723197
1e-08,4.0,1.0,0.00012915497,1024.0,0.89551656920078
1e-08,4.0,1.0,0.0004641589,16.0,0.884990253411306
1e-08,4.0,1.0,0.0004641589,25.0,0.884210526315789
1e-08,4.0,1.0,0.0004641589,40.0,0.884600389863548
1e-08,4.0,1.0,0.0004641589,64.0,0.886939571150097
1e-08,4.0,1.0,0.0004641589,101.0,0.890058479532164
1e-08,4.0,1.0,0.0004641589,161.0,0.893567251461988
1e-08,4.0,1.0,0.0004641589,256.0,0.899025341130604
1e-08,4.0,1.0,0.0004641589,406.0,0.89551656920078
1e-08,4.0,1.0,0.0004641589,645.0,0.89083820662768
1e-08,4.0,1.0,0.0004641589,1024.0,0.899805068226121
1e-08,4.0,1.0,0.0016681006,16.0,0.868615984405458
1e-08,4.0,1.0,0.0016681006,25.0,0.883430799220273
1e-08,4.0,1.0,0.0016681006,40.0,0.881091617933723
1e-08,4.0,1.0,0.0016681006,64.0,0.87953216374269
1e-08,4.0,1.0,0.0016681006,101.0,0.892787524366472
1e-08,4.0,1.0,0.0016681006,161.0,0.89317738791423
1e-08,4.0,1.0,0.0016681006,256.0,0.903313840155946
1e-08,4.0,1.0,0.0016681006,406.0,0.895906432748538
1e-08,4.0,1.0,0.0016681006,645.0,0.900194931773879
1e-08,4.0,1.0,0.0016681006,1024.0,0.898635477582846
1e-08,4.0,1.0,0.0059948424,16.0,0.878362573099415
1e-08,4.0,1.0,0.0059948424,25.0,0.882651072124756
1e-08,4.0,1.0,0.0059948424,40.0,0.891228070175439
1e-08,4.0,1.0,0.0059948424,64.0,0.893567251461988
1e-08,4.0,1.0,0.0059948424,101.0,0.896296296296296
1e-08,4.0,1.0,0.0059948424,161.0,0.899025341130604
1e-08,4.0,1.0,0.0059948424,256.0,0.896686159844055
1e-08,4.0,1.0,0.0059948424,406.0,0.90214424951267
1e-08,4.0,1.0,0.0059948424,645.0,0.900974658869396
1e-08,4.0,1.0,0.0059948424,1024.0,0.901364522417154
1e-08,4.0,1.0,0.021544347,16.0,0.87719298245614
1e-08,4.0,1.0,0.021544347,25.0,0.884210526315789
1e-08,4.0,1.0,0.021544347,40.0,0.889278752436647
1e-08,4.0,1.0,0.021544347,64.0,0.883040935672515
1e-08,4.0,1.0,0.021544347,101.0,0.882651072124756
1e-08,4.0,1.0,0.021544347,161.0,0.89083820662768
1e-08,4.0,1.0,0.021544347,256.0,0.892007797270955
1e-08,4.0,1.0,0.021544347,406.0,0.888888888888889
1e-08,4.0,1.0,0.021544347,645.0,0.895906432748538
1e-08,4.0,1.0,0.021544347,1024.0,0.892397660818713
1e-08,4.0,1.0,0.07742637,16.0,0.902923976608187
1e-08,4.0,1.0,0.07742637,25.0,0.895126705653021
1e-08,4.0,1.0,0.07742637,40.0,0.895906432748538
1e-08,4.0,1.0,0.07742637,64.0,0.897076023391813
1e-08,4.0,1.0,0.07742637,101.0,0.89551656920078
1e-08,4.0,1.0,0.07742637,161.0,0.882261208576998
1e-08,4.0,1.0,0.07742637,256.0,0.891617933723197
1e-08,4.0,1.0,0.07742637,406.0,0.884600389863548
1e-08,4.0,1.0,0.07742637,645.0,0.886939571150097
1e-08,4.0,1.0,0.07742637,1024.0,0.883430799220273
1e-08,4.0,1.0,0.27825594,16.0,0.807017543859649
1e-08,4.0,1.0,0.27825594,25.0,0.821442495126706
1e-08,4.0,1.0,0.27825594,40.0,0.828460038986355
1e-08,4.0,1.0,0.27825594,64.0,0.837037037037037
1e-08,4.0,1.0,0.27825594,101.0,0.850682261208577
1e-08,4.0,1.0,0.27825594,161.0,0.869005847953216
1e-08,4.0,1.0,0.27825594,256.0,0.87953216374269
1e-08,4.0,1.0,0.27825594,406.0,0.862768031189084
1e-08,4.0,1.0,0.27825594,645.0,0.882651072124756
1e-08,4.0,1.0,0.27825594,1024.0,0.886549707602339
1e-08,4.0,1.0,1.0,16.0,0.70916179337232
1e-08,4.0,1.0,1.0,25.0,0.7364522417154
1e-08,4.0,1.0,1.0,40.0,0.754775828460039
1e-08,4.0,1.0,1.0,64.0,0.831189083820663
1e-08,4.0,1.0,1.0,101.0,0.845614035087719
1e-08,4.0,1.0,1.0,161.0,0.856530214424951
1e-08,4.0,1.0,1.0,256.0,0.880701754385965
1e-08,4.0,1.0,1.0,406.0,0.892787524366472
1e-08,4.0,1.0,1.0,645.0,0.877972709551657
1e-08,4.0,1.0,1.0,1024.0,0.894346978557505
1e-08,4.0,2.0,1e-05,16.0,0.885769980506823
1e-08,4.0,2.0,1e-05,25.0,0.895126705653021
1e-08,4.0,2.0,1e-05,40.0,0.903313840155946
1e-08,4.0,2.0,1e-05,64.0,0.907212475633528
1e-08,4.0,2.0,1e-05,101.0,0.90448343079922
1e-08,4.0,2.0,1e-05,161.0,0.897076023391813
1e-08,4.0,2.0,1e-05,256.0,0.897855750487329
1e-08,4.0,2.0,1e-05,406.0,0.89083820662768
1e-08,4.0,2.0,1e-05,645.0,0.892007797270955
1e-08,4.0,2.0,1e-05,1024.0,0.896686159844055
1e-08,4.0,2.0,3.5938137e-05,16.0,0.90214424951267
1e-08,4.0,2.0,3.5938137e-05,25.0,0.899805068226121
1e-08,4.0,2.0,3.5938137e-05,40.0,0.900584795321637
1e-08,4.0,2.0,3.5938137e-05,64.0,0.894736842105263
1e-08,4.0,2.0,3.5938137e-05,101.0,0.891228070175438
1e-08,4.0,2.0,3.5938137e-05,161.0,0.894736842105263
1e-08,4.0,2.0,3.5938137e-05,256.0,0.89317738791423
1e-08,4.0,2.0,3.5938137e-05,406.0,0.89083820662768
1e-08,4.0,2.0,3.5938137e-05,645.0,0.89083820662768
1e-08,4.0,2.0,3.5938137e-05,1024.0,0.900974658869396
1e-08,4.0,2.0,0.00012915497,16.0,0.888499025341131
1e-08,4.0,2.0,0.00012915497,25.0,0.881481481481481
1e-08,4.0,2.0,0.00012915497,40.0,0.890448343079922
1e-08,4.0,2.0,0.00012915497,64.0,0.888888888888889
1e-08,4.0,2.0,0.00012915497,101.0,0.89083820662768
1e-08,4.0,2.0,0.00012915497,161.0,0.891617933723197
1e-08,4.0,2.0,0.00012915497,256.0,0.895126705653021
1e-08,4.0,2.0,0.00012915497,406.0,0.891617933723197
1e-08,4.0,2.0,0.00012915497,645.0,0.895126705653021
1e-08,4.0,2.0,0.00012915497,1024.0,0.899415204678363
1e-08,4.0,2.0,0.0004641589,16.0,0.869785575048733
1e-08,4.0,2.0,0.0004641589,25.0,0.880311890838207
1e-08,4.0,2.0,0.0004641589,40.0,0.888888888888889
1e-08,4.0,2.0,0.0004641589,64.0,0.895906432748538
1e-08,4.0,2.0,0.0004641589,101.0,0.894346978557505
1e-08,4.0,2.0,0.0004641589,161.0,0.893567251461988
1e-08,4.0,2.0,0.0004641589,256.0,0.89551656920078
1e-08,4.0,2.0,0.0004641589,406.0,0.900974658869396
1e-08,4.0,2.0,0.0004641589,645.0,0.90214424951267
1e-08,4.0,2.0,0.0004641589,1024.0,0.903313840155946
1e-08,4.0,2.0,0.0016681006,16.0,0.886549707602339
1e-08,4.0,2.0,0.0016681006,25.0,0.879922027290448
1e-08,4.0,2.0,0.0016681006,40.0,0.89551656920078
1e-08,4.0,2.0,0.0016681006,64.0,0.899805068226121
1e-08,4.0,2.0,0.0016681006,101.0,0.897076023391813
1e-08,4.0,2.0,0.0016681006,161.0,0.902534113060429
1e-08,4.0,2.0,0.0016681006,256.0,0.902534113060429
1e-08,4.0,2.0,0.0016681006,406.0,0.905653021442495
1e-08,4.0,2.0,0.0016681006,645.0,0.904873294346978
1e-08,4.0,2.0,0.0016681006,1024.0,0.902534113060429
1e-08,4.0,2.0,0.0059948424,16.0,0.892787524366472
1e-08,4.0,2.0,0.0059948424,25.0,0.892787524366472
1e-08,4.0,2.0,0.0059948424,40.0,0.892397660818713
1e-08,4.0,2.0,0.0059948424,64.0,0.892787524366472
1e-08,4.0,2.0,0.0059948424,101.0,0.900584795321637
1e-08,4.0,2.0,0.0059948424,161.0,0.896686159844055
